cycle_id,timestamp_start_ms,timestamp_end_ms,dt_target_ms,loop_latency_ms,jitter_ms,deadline_ms,late_flag,controller_mode,scenario_id,r,y,e,u,sat_flag,rx_seq,tx_seq
1,0.6091,12.8274,20,12.2183,-7.7817,20,0,PID,none yet,22,20.016,1.984,1,0,28,37
2,19.6233,28.7306,20,9.1073,-10.8927,20,0,PID,none yet,22,20.031952,1.968048,1,0,28,37
3,37.3157,44.2795,20,6.9638,-13.0362,20,0,PID,none yet,22,20.047856144,1.952143856,1,0,28,37
4,53.495,57.8304,20,4.3354,-15.6646,20,0,PID,none yet,22,20.063712575568,1.936287424432,1,0,28,37
5,63.7744,75.7498,20,11.9754,-8.02459999999999,20,0,PID,none yet,22,20.0795214378413,1.92047856215871,1,0,28,37
6,99.1154,110.815,20,11.6996,-8.30040000000001,20,0,PID,none yet,22,20.0952828735278,1.90471712647223,1,0,28,37
7,112.274,120.5815,20,8.30749999999999,-11.6925,20,0,PID,none yet,22,20.1109970249072,1.88900297509282,1,0,28,37
8,122.0361,135.5861,20,13.55,-6.45,20,0,PID,none yet,22,20.1266640338325,1.87333596616754,1,0,28,37
9,149.7897,168.2123,20,18.4226,-1.57740000000001,20,0,PID,none yet,22,20.142284041731,1.85771595826904,1,0,28,37
10,170.4375,184.5319,20,14.0944,-5.90559999999999,20,0,PID,none yet,22,20.1578571896058,1.84214281039423,1,0,29,38
11,186.7675,200.1323,20,13.3648,-6.6352,20,0,PID,none yet,22,20.173383618037,1.82661638196305,1,0,29,38
12,202.0602,215.4463,20,13.3861,-6.6139,20,0,PID,none yet,22,20.1888634671828,1.81113653281716,1,0,29,38
13,229.0711,246.9217,20,17.8506,-2.14940000000001,20,0,PID,none yet,22,20.2042968767813,1.7957031232187,1,0,29,38
14,249.4374,261.9853,20,12.5479,-7.4521,20,0,PID,none yet,22,20.219683986151,1.78031601384905,1,0,29,38
15,263.4786,277.3832,20,13.9046,-6.09540000000004,20,0,PID,none yet,22,20.2350249341925,1.7649750658075,1,0,29,38
16,290.1635,307.7448,20,17.5813,-2.4187,20,0,PID,none yet,22,20.2503198593899,1.74968014061008,1,0,29,38
17,309.2692,322.7443,20,13.4751,-6.5249,20,0,PID,none yet,22,20.2655688998118,1.73443110018825,1,0,29,38
18,324.1921,338.3738,20,14.1817,-5.81829999999997,20,0,PID,none yet,22,20.2807721931123,1.71922780688768,1,0,29,38
19,340.1064,353.862,20,13.7556000000001,-6.24439999999993,20,0,PID,none yet,22,20.295929876533,1.70407012346702,1,0,29,38
20,366.9245,384.1485,20,17.224,-2.77599999999995,20,0,PID,none yet,22,20.3110420869034,1.68895791309662,1,0,29,38
21,385.7099,400.3181,20,14.6082,-5.39179999999999,20,0,PID,none yet,22,20.3261089606427,1.67389103935733,1,0,29,38
22,401.9771,414.3963,20,12.4192,-7.58079999999995,20,0,PID,none yet,22,20.3411306337607,1.65886936623926,1,0,29,38
23,427.8159,445.6962,20,17.8803,-2.11970000000002,20,0,PID,none yet,22,20.3561072418595,1.64389275814054,1,0,29,38
24,447.2566,460.6825,20,13.4259,-6.57409999999999,20,0,PID,none yet,22,20.3710389201339,1.62896107986612,1,0,29,38
25,462.1003,476.1564,20,14.0561,-5.94390000000004,20,0,PID,none yet,22,20.3859258033735,1.61407419662652,1,0,29,38
26,490.039,507.7548,20,17.7157999999999,-2.28420000000006,20,0,PID,none yet,22,20.4007680259634,1.59923197403664,1,0,29,38
27,509.5093,523.0973,20,13.588,-6.41200000000003,20,0,PID,none yet,22,20.4155657218855,1.58443427811453,1,0,29,38
28,524.4946,539.3235,20,14.8289,-5.17110000000002,20,0,PID,none yet,22,20.4303190247198,1.56968097528019,1,0,29,38
29,540.8487,554.9646,20,14.1159,-5.88409999999999,20,0,PID,none yet,22,20.4450280676457,1.55497193235434,1,0,29,38
30,568.2422,586.0851,20,17.8429,-2.15710000000001,20,0,PID,none yet,22,20.4596929834427,1.54030701655728,1,0,29,38
31,587.5856,601.6266,20,14.0410000000001,-5.95899999999995,20,0,PID,none yet,22,20.4743139044924,1.52568609550761,1,0,29,38
