cycle_id,timestamp_start_ms,timestamp_end_ms,dt_target_ms,loop_latency_ms,jitter_ms,deadline_ms,late_flag,controller_mode,scenario_id,r,y,e,u,sat_flag,rx_seq,tx_seq
1,0.1431,13.9702,20,13.8271,-6.1729,20,0,PID,none yet,22,20.016,1.984,1,0,28,37
2,16.3706,40.3507,20,23.9801,3.9801,20,1,PID,none yet,22,20.031952,1.968048,1,0,29,37
3,42.8678,68.9211,20,26.0533,6.0533,20,1,PID,none yet,22,20.047856144,1.952143856,1,0,28,37
4,71.545,79.4616,20,7.91659999999999,-12.0834,20,0,PID,none yet,22,20.063712575568,1.936287424432,1,0,28,37
5,81.5558,94.6761,20,13.1203,-6.87969999999999,20,0,PID,none yet,22,20.0795214378413,1.92047856215871,1,0,28,37
6,97.0571,110.2978,20,13.2407,-6.7593,20,0,PID,none yet,22,20.0952828735278,1.90471712647223,1,0,28,37
7,112.3579,124.9035,20,12.5456,-7.45440000000001,20,0,PID,none yet,22,20.1109970249072,1.88900297509282,1,0,28,37
8,127.2995,144.8208,20,17.5213,-2.47870000000002,20,0,PID,none yet,22,20.1266640338325,1.87333596616754,1,0,28,37
9,146.9445,154.7685,20,7.82400000000001,-12.176,20,0,PID,none yet,22,20.142284041731,1.85771595826904,1,0,28,37
10,165.1058,186.7276,20,21.6218,1.62180000000001,20,1,PID,none yet,22,20.1578571896058,1.84214281039423,1,0,29,38
11,188.5307,198.8949,20,10.3642,-9.63579999999999,20,0,PID,none yet,22,20.173383618037,1.82661638196305,1,0,29,38
12,200.4387,214.5066,20,14.0679,-5.93210000000002,20,0,PID,none yet,22,20.1888634671828,1.81113653281716,1,0,29,38
13,226.7515,251.1821,20,24.4306,4.43060000000003,20,1,PID,none yet,22,20.2042968767813,1.7957031232187,1,0,29,38
14,253.3311,261.8426,20,8.51150000000004,-11.4885,20,0,PID,none yet,22,20.219683986151,1.78031601384905,1,0,29,38
15,263.9123,281.4078,20,17.4955,-2.50450000000001,20,0,PID,none yet,22,20.2350249341925,1.7649750658075,1,0,29,38
16,283.7549,301.1152,20,17.3603000000001,-2.63969999999995,20,0,PID,none yet,22,20.2503198593899,1.74968014061008,1,0,29,38
17,303.3238,315.6029,20,12.2791000000001,-7.72089999999992,20,0,PID,none yet,22,20.2655688998118,1.73443110018825,1,0,29,38
18,320.7769,347.6591,20,26.8822000000001,6.88220000000007,20,1,PID,none yet,22,20.2807721931123,1.71922780688768,1,0,29,38
19,349.8077,363.4189,20,13.6112,-6.3888,20,0,PID,none yet,22,20.295929876533,1.70407012346702,1,0,29,38
20,365.5834,379.5041,20,13.9207,-6.07929999999999,20,0,PID,none yet,22,20.3110420869034,1.68895791309662,1,0,29,38
21,381.6042,392.4513,20,10.8471,-9.15289999999999,20,0,PID,none yet,22,20.3261089606427,1.67389103935733,1,0,29,38
22,400.203,425.8402,20,25.6372,5.63720000000001,20,1,PID,none yet,22,20.3411306337607,1.65886936623926,1,0,29,38
