cycle_id,timestamp_start_ms,timestamp_end_ms,dt_target_ms,loop_latency_ms,jitter_ms,deadline_ms,late_flag,controller_mode,scenario_id,r,y,e,u,sat_flag,rx_seq,tx_seq
1,0.6492,9.0011,20,8.3519,-11.6481,20,0,PID,none yet,22,20.016,1.984,1,0,28,37
2,44.5917,51.5752,20,6.98350000000001,-13.0165,20,0,PID,none yet,22,20.031952,1.968048,1,0,28,37
3,57.0912,74.2297,20,17.1385,-2.86150000000001,20,0,PID,none yet,22,20.047856144,1.952143856,1,0,28,37
4,84.4897,104.9546,20,20.4649,0.4649,20,1,PID,none yet,22,20.063712575568,1.936287424432,1,0,28,37
5,114.5326,138.1322,20,23.5996,3.59960000000001,20,1,PID,none yet,22,20.0795214378413,1.92047856215871,1,0,28,37
6,165.0173,182.8512,20,17.8339,-2.1661,20,0,PID,none yet,22,20.0952828735278,1.90471712647223,1,0,28,37
7,185.8401,193.5725,20,7.73240000000001,-12.2676,20,0,PID,none yet,22,20.1109970249072,1.88900297509282,1,0,28,37
8,195.1691,210.7569,20,15.5878,-4.41220000000001,20,0,PID,none yet,22,20.1266640338325,1.87333596616754,1,0,28,37
9,212.2564,229.2336,20,16.9772,-3.02280000000002,20,0,PID,none yet,22,20.142284041731,1.85771595826904,1,0,28,37
10,231.0329,243.1055,20,12.0726,-7.92740000000001,20,0,PID,none yet,22,20.1578571896058,1.84214281039423,1,0,29,38
11,244.6183,255.3532,20,10.7349,-9.26509999999999,20,0,PID,none yet,22,20.173383618037,1.82661638196305,1,0,29,38
12,256.9006,274.9455,20,18.0449,-1.95510000000002,20,0,PID,none yet,22,20.1888634671828,1.81113653281716,1,0,29,38
13,276.4575,290.147,20,13.6895,-6.31050000000005,20,0,PID,none yet,22,20.2042968767813,1.7957031232187,1,0,29,38
14,291.6617,302.6605,20,10.9988,-9.00119999999998,20,0,PID,none yet,22,20.219683986151,1.78031601384905,1,0,29,38
15,304.2815,317.3727,20,13.0912,-6.90879999999999,20,0,PID,none yet,22,20.2350249341925,1.7649750658075,1,0,29,38
16,318.9531,337.4284,20,18.4753,-1.5247,20,0,PID,none yet,22,20.2503198593899,1.74968014061008,1,0,29,38
17,338.9639,353.372,20,14.4081,-5.59189999999995,20,0,PID,none yet,22,20.2655688998118,1.73443110018825,1,0,29,38
18,354.8843,366.7424,20,11.8581,-8.14189999999996,20,0,PID,none yet,22,20.2807721931123,1.71922780688768,1,0,29,38
19,368.2553,383.2305,20,14.9751999999999,-5.02480000000008,20,0,PID,none yet,22,20.295929876533,1.70407012346702,1,0,29,38
20,384.8585,396.2549,20,11.3964,-8.60359999999997,20,0,PID,none yet,22,20.3110420869034,1.68895791309662,1,0,29,38
21,398.6334,412.6944,20,14.061,-5.93900000000002,20,0,PID,none yet,22,20.3261089606427,1.67389103935733,1,0,29,38
22,414.7644,428.0839,20,13.3195000000001,-6.68049999999994,20,0,PID,none yet,22,20.3411306337607,1.65886936623926,1,0,29,38
23,429.8593,443.4371,20,13.5778,-6.42220000000003,20,0,PID,none yet,22,20.3561072418595,1.64389275814054,1,0,29,38
24,445.0117,459.9179,20,14.9062,-5.09380000000004,20,0,PID,none yet,22,20.3710389201339,1.62896107986612,1,0,29,38
25,461.5753,477.3127,20,15.7374,-4.26260000000002,20,0,PID,none yet,22,20.3859258033735,1.61407419662652,1,0,29,38
26,487.5372,510.8099,20,23.2727,3.27270000000004,20,1,PID,none yet,22,20.4007680259634,1.59923197403664,1,0,29,38
27,513.9782,524.8591,20,10.8809,-9.1191,20,0,PID,none yet,22,20.4155657218855,1.58443427811453,1,0,29,38
28,526.458,542.4777,20,16.0196999999999,-3.98030000000006,20,0,PID,none yet,22,20.4303190247198,1.56968097528019,1,0,29,38
