cycle_id,timestamp_start_ms,timestamp_end_ms,dt_target_ms,loop_latency_ms,jitter_ms,deadline_ms,late_flag,controller_mode,scenario_id,r,y,e,u,sat_flag,rx_seq,tx_seq
1,0.888,16.1829,20,15.2949,-4.7051,20,0,PID,none yet,22,20.016,1.984,1,0,28,37
2,24.9913,39.5004,20,14.5091,-5.4909,20,0,PID,none yet,22,20.031952,1.968048,1,0,28,37
3,41.4475,62.8066,20,21.3591,1.35910000000001,20,1,PID,none yet,22,20.047856144,1.952143856,1,0,28,37
4,64.3343,68.6774,20,4.34310000000001,-15.6569,20,0,PID,none yet,22,20.063712575568,1.936287424432,1,0,28,37
5,70.0878,85.4659,20,15.3781,-4.62190000000001,20,0,PID,none yet,22,20.0795214378413,1.92047856215871,1,0,28,37
6,86.9297,101.3652,20,14.4355,-5.5645,20,0,PID,none yet,22,20.0952828735278,1.90471712647223,1,0,28,37
7,103.5128,122.1042,20,18.5914,-1.40860000000001,20,0,PID,none yet,22,20.1109970249072,1.88900297509282,1,0,28,37
8,123.5684,138.9513,20,15.3829,-4.61709999999999,20,0,PID,none yet,22,20.1266640338325,1.87333596616754,1,0,28,37
9,140.3751,153.3226,20,12.9475,-7.05250000000001,20,0,PID,none yet,22,20.142284041731,1.85771595826904,1,0,28,37
10,160.4286,185.7885,20,25.3599,5.35989999999998,20,1,PID,none yet,22,20.1578571896058,1.84214281039423,1,0,29,38
11,188.0767,200.4654,20,12.3887,-7.61130000000003,20,0,PID,none yet,22,20.173383618037,1.82661638196305,1,0,29,38
12,202.1347,216.2599,20,14.1252,-5.87479999999999,20,0,PID,none yet,22,20.1888634671828,1.81113653281716,1,0,29,38
13,221.1833,250.5237,20,29.3404,9.34040000000002,20,1,PID,none yet,22,20.2042968767813,1.7957031232187,1,0,30,38
14,252.0454,277.1522,20,25.1068,5.10680000000002,20,1,PID,none yet,22,20.219683986151,1.78031601384905,1,0,29,38
15,278.6859,286.9184,20,8.23250000000002,-11.7675,20,0,PID,none yet,22,20.2350249341925,1.7649750658075,1,0,29,38
16,288.4873,307.1664,20,18.6791,-1.32089999999999,20,0,PID,none yet,22,20.2503198593899,1.74968014061008,1,0,29,38
17,308.6603,323.7353,20,15.075,-4.92500000000001,20,0,PID,none yet,22,20.2655688998118,1.73443110018825,1,0,29,38
18,325.3502,339.5546,20,14.2044,-5.79559999999998,20,0,PID,none yet,22,20.2807721931123,1.71922780688768,1,0,29,38
19,341.0761,355.8169,20,14.7408,-5.25920000000002,20,0,PID,none yet,22,20.295929876533,1.70407012346702,1,0,29,38
20,361.0143,388.1464,20,27.1321,7.13210000000004,20,1,PID,none yet,22,20.3110420869034,1.68895791309662,1,0,29,38
21,389.6154,402.5317,20,12.9163,-7.08370000000002,20,0,PID,none yet,22,20.3261089606427,1.67389103935733,1,0,29,38
22,403.9613,416.8131,20,12.8518,-7.14820000000003,20,0,PID,none yet,22,20.3411306337607,1.65886936623926,1,0,29,38
23,423.8598,450.4063,20,26.5465,6.54649999999998,20,1,PID,none yet,22,20.3561072418595,1.64389275814054,1,0,29,38
24,452.019,459.929,20,7.90999999999997,-12.09,20,0,PID,none yet,22,20.3710389201339,1.62896107986612,1,0,29,38
25,461.3756,478.9848,20,17.6092,-2.39080000000001,20,0,PID,none yet,22,20.3859258033735,1.61407419662652,1,0,29,38
26,480.4391,499.1149,20,18.6758,-1.32420000000002,20,0,PID,none yet,22,20.4007680259634,1.59923197403664,1,0,30,38
27,500.9705,529.7121,20,28.7416,8.74160000000001,20,1,PID,none yet,22,20.4155657218855,1.58443427811453,1,0,30,38
28,531.3874,559.6643,20,28.2769000000001,8.27690000000007,20,1,PID,none yet,22,20.4303190247198,1.56968097528019,1,0,30,38
29,561.2078,565.4935,20,4.28569999999991,-15.7143000000001,20,0,PID,none yet,22,20.4450280676457,1.55497193235434,1,0,29,38
30,567.1492,581.0707,20,13.9215,-6.07849999999996,20,0,PID,none yet,22,20.4596929834427,1.54030701655728,1,0,29,38
31,583.0572,596.6054,20,13.5481999999998,-6.45180000000016,20,0,PID,none yet,22,20.4743139044924,1.52568609550761,1,0,29,38
32,609.8489,630.5515,20,20.7026,0.702599999999961,20,1,PID,none yet,22,20.4888909627789,1.51110903722109,1,0,29,38
33,632.5043,650.5977,20,18.0933999999999,-1.90660000000014,20,0,PID,none yet,22,20.5034242898906,1.49657571010942,1,0,29,38
34,652.0551,668.1639,20,16.1088,-3.89120000000003,20,0,PID,none yet,22,20.5179140170209,1.48208598297909,1,0,29,38
35,669.6358,682.496,20,12.8602,-7.13980000000004,20,0,PID,none yet,22,20.5323602749698,1.46763972503016,1,0,29,38
36,683.9704,698.4628,20,14.4924000000001,-5.50759999999991,20,0,PID,none yet,22,20.5467631941449,1.45323680585507,1,0,29,38
37,700.2141,712.1853,20,11.9712000000001,-8.02879999999993,20,0,PID,none yet,22,20.5611229045625,1.4388770954375,1,0,29,38
38,720.3353,743.4141,20,23.0788,3.0788,20,1,PID,none yet,22,20.5754395358488,1.42456046415119,1,0,29,38
39,744.9956,754.7093,20,9.71370000000002,-10.2863,20,0,PID,none yet,22,20.5897132172413,1.41028678275874,1,0,29,38
40,767.2726,786.6513,20,19.3787000000001,-0.621299999999906,20,0,PID,none yet,22,20.6039440775895,1.39605592241046,1,0,29,38
